r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV)   Z_eq   M_p* (MeV)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
0.636   1.34852543e+35   0.00053272463   9.81970115e+14   -0.509741124   1.0024799   0.536690356   0   311.024472   0   484.346447   0.0265790446   0.495755371   1183.20213
0.641   1.34838027e+35   0.000545374105   9.81928685e+14   -0.509748383   1.00251908   0.536670733   0   311.032017   0   484.355167   0.0265780791   0.495737501   1183.18521
0.646   1.34823399e+35   0.000558221922   9.81886931e+14   -0.509755698   1.00255857   0.536650957   0   311.039621   0   484.363956   0.026577106   0.495719491   1183.16815
0.651   1.34808658e+35   0.000571269611   9.81844854e+14   -0.509763071   1.00259837   0.536631026   0   311.047285   0   484.372813   0.0265761254   0.495701341   1183.15096
0.656   1.34793805e+35   0.000584518701   9.81802452e+14   -0.5097705   1.00263847   0.536610942   0   311.055008   0   484.381739   0.0265751372   0.495683051   1183.13364
0.661   1.34778838e+35   0.000597970722   9.81759726e+14   -0.509777987   1.00267888   0.536590704   0   311.062791   0   484.390733   0.0265741415   0.495664621   1183.11619
0.666   1.34763759e+35   0.000611627203   9.81716676e+14   -0.50978553   1.0027196   0.536570313   0   311.070633   0   484.399796   0.0265731382   0.495646051   1183.09861
0.671   1.34748568e+35   0.000625489672   9.81673302e+14   -0.50979313   1.00276063   0.536549767   0   311.078535   0   484.408928   0.0265721273   0.495627341   1183.08089
0.676   1.34733264e+35   0.000639559657   9.81629604e+14   -0.509800788   1.00280197   0.536529068   0   311.086497   0   484.418129   0.0265711089   0.495608491   1183.06305
0.681   1.34717847e+35   0.000653838686   9.81585582e+14   -0.509808502   1.00284361   0.536508215   0   311.094518   0   484.427398   0.0265700829   0.4955895   1183.04507
0.686   1.34702318e+35   0.000668328286   9.81541236e+14   -0.509816273   1.00288556   0.536487208   0   311.102599   0   484.436736   0.0265690494   0.49557037   1183.02695
0.691   1.34686676e+35   0.000683029984   9.81496566e+14   -0.509824102   1.00292782   0.536466047   0   311.110739   0   484.446142   0.0265680083   0.4955511   1183.00871
0.696   1.34670921e+35   0.000697945305   9.81451573e+14   -0.509831987   1.00297039   0.536444733   0   311.118939   0   484.455618   0.0265669596   0.495531689   1182.99033
0.701   1.34655055e+35   0.000713075777   9.81406255e+14   -0.509839929   1.00301327   0.536423264   0   311.127198   0   484.465162   0.0265659034   0.495512138   1182.97183
0.706   1.34639075e+35   0.000728422924   9.81360613e+14   -0.509847928   1.00305645   0.536401642   0   311.135517   0   484.474775   0.0265648397   0.495492447   1182.95319
0.711   1.34622984e+35   0.000743988273   9.81314647e+14   -0.509855985   1.00309995   0.536379867   0   311.143896   0   484.484456   0.0265637684   0.495472617   1182.93441
0.716   1.34606779e+35   0.000759773346   9.81268357e+14   -0.509864098   1.00314375   0.536357937   0   311.152334   0   484.494207   0.0265626895   0.495452646   1182.91551
0.721   1.34590463e+35   0.000775779669   9.81221743e+14   -0.509872268   1.00318786   0.536335853   0   311.160832   0   484.504026   0.026561603   0.495432534   1182.89648
0.726   1.34574034e+35   0.000792008765   9.81174805e+14   -0.509880495   1.00323227   0.536313616   0   311.16939   0   484.513914   0.0265605091   0.495412283   1182.87731
0.731   1.34557492e+35   0.000808462158   9.81127544e+14   -0.509888779   1.003277   0.536291225   0   311.178008   0   484.52387   0.0265594075   0.495391892   1182.85801
0.736   1.34540839e+35   0.00082514137   9.81079958e+14   -0.50989712   1.00332204   0.53626868   0   311.186685   0   484.533896   0.0265582984   0.49537136   1182.83858
0.741   1.34524073e+35   0.000842047924   9.81032049e+14   -0.509905518   1.00336738   0.536245981   0   311.195422   0   484.54399   0.0265571818   0.495350689   1182.81901
0.746   1.34507195e+35   0.000859183343   9.80983815e+14   -0.509913973   1.00341303   0.536223128   0   311.204218   0   484.554153   0.0265560575   0.495329877   1182.79932
0.751   1.34490204e+35   0.000876549146   9.80935258e+14   -0.509922485   1.00345899   0.536200122   0   311.213074   0   484.564385   0.0265549258   0.495308925   1182.77949
0.756   1.34473101e+35   0.000894146856   9.80886377e+14   -0.509931054   1.00350526   0.536176961   0   311.22199   0   484.574686   0.0265537864   0.495287833   1182.75953
0.761   1.34455886e+35   0.000911977993   9.80837171e+14   -0.50993968   1.00355184   0.536153647   0   311.230966   0   484.585055   0.0265526396   0.495266601   1182.73944
0.766   1.34438559e+35   0.000930044078   9.80787642e+14   -0.509948363   1.00359872   0.536130179   0   311.240002   0   484.595494   0.0265514851   0.495245229   1182.71922
0.771   1.3442112e+35   0.000948346629   9.80737789e+14   -0.509957103   1.00364592   0.536106557   0   311.249097   0   484.606001   0.0265503231   0.495223716   1182.69887
0.776   1.34403569e+35   0.000966887166   9.80687613e+14   -0.509965899   1.00369342   0.536082781   0   311.258252   0   484.616578   0.0265491536   0.495202064   1182.67838
0.781   1.34385905e+35   0.000985667208   9.80637112e+14   -0.509974753   1.00374123   0.536058851   0   311.267467   0   484.627223   0.0265479765   0.495180271   1182.65776
0.786   1.3436813e+35   0.00100468827   9.80586288e+14   -0.509983664   1.00378935   0.536034768   0   311.276742   0   484.637937   0.0265467918   0.495158338   1182.63701
0.791   1.34350242e+35   0.00102395188   9.80535139e+14   -0.509992632   1.00383778   0.53601053   0   311.286076   0   484.64872   0.0265455996   0.495136265   1182.61613
0.796   1.34332243e+35   0.00104345954   9.80483667e+14   -0.510001657   1.00388652   0.535986139   0   311.29547   0   484.659571   0.0265443998   0.495114051   1182.59512
0.801   1.34314131e+35   0.00106321278   9.80431871e+14   -0.510010738   1.00393556   0.535961594   0   311.304925   0   484.670492   0.0265431925   0.495091698   1182.57397
